"filename", "language", "YAML", "Markdown", "Shell Script", "JavaScript", "SQL", "XML", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\departments.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 10, 25
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\questions.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 16, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\subjects.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 9, 25
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\users.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 7, 11, 29
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\server.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 13, 34
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 30577, 0, 0, 0, 1, 30578
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 1, 48
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\bme.svg", "XML", 0, 0, 0, 0, 0, 1271, 0, 0, 0, 0, 0, 0, 1271
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\login.svg", "XML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\department.api.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\subjects.api.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\user.api.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\components\header.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 2, 4, 128
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\configs\authConfig.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 19, 5, 70
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 6, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\layout.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\addDepartment.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 6, 105
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departmentDetails.js", "JavaScript", 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 1, 9, 218
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departments.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 4, 89
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\logging\login.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 6, 64
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\mainpage.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\addSubject.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 8, 131
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\subjectDetails.js", "JavaScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 7, 153
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\subjects.js", "JavaScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 1, 4, 88
