"filename", "language", "JSON", "Markdown", "Shell Script", "JavaScript", "Docker", "XML", "HTML", "CSS", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\utils\functions.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\build_frontend.sh", "Shell Script", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 8, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package-lock.json", "JSON", 30596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30597
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\bme.svg", "XML", 0, 0, 0, 0, 0, 1271, 0, 0, 0, 0, 0, 0, 1271
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\login.svg", "XML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\manifest.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
