"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\questions.controller.js", "JavaScript", 24, 0, 1, -1, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departmentDetails.js", "JavaScript", 41, 0, 0, 1, 42
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\mainpage.js", "JavaScript", 19, 0, 0, 2, 21
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\manifest.json", "JSON", 0, -17, 0, 0, -17
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.js", "JavaScript", -2, 0, 0, 0, -2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\department.api.js", "JavaScript", 17, 0, 0, 2, 19
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\question.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\subject.api.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\footer.js", "JavaScript", 15, 0, 0, 2, 17
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\layout.js", "JavaScript", -2, 0, 0, 0, -2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\adms.js", "JavaScript", 125, 0, 1, 9, 135
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\askquestion.js", "JavaScript", -40, 0, 0, 4, -36
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\edu.js", "JavaScript", 211, 0, 2, 5, 218
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\departments.js", "JavaScript", 35, 0, 0, 2, 37
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\login.js", "JavaScript", 0, 0, 1, 0, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\profile.js", "JavaScript", -8, 0, 0, -3, -11
"Total", "-", 453, -17, 5, 25, 466
